LU0000090123456708002MT0000000000;1.9.1;;;;LU0000090123456708002MT0000000000;3.29.0;;;;LU0000090752630500119MT0000000000;1.9.1;;;;LU0000090752630500119MT0000000000;3.29.0;;;
begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit
01.08.2016 19:00;02.08.2016 10:00;220;9.787;KWH;01.08.2016 19:00;02.08.2016 10:00;220;4.363;KAH;01.08.2016 19:00;02.08.2016 10:00;220;6.221;KWH;01.08.2016 19:00;02.08.2016 10:00;220;0.000;KAH
01.08.2016 19:15;02.08.2016 10:15;220;9.787;KWH;01.08.2016 19:15;02.08.2016 10:15;220;4.200;KAH;01.08.2016 19:15;02.08.2016 10:15;220;0.844;KWH;01.08.2016 19:15;02.08.2016 10:15;220;0.000;KAH
01.08.2016 19:30;02.08.2016 10:30;220;11.646;KWH;01.08.2016 19:30;02.08.2016 10:30;220;4.788;KAH;01.08.2016 19:30;02.08.2016 10:30;220;0.625;KWH;01.08.2016 19:30;02.08.2016 10:30;220;0.000;KAH
01.08.2016 19:45;02.08.2016 10:45;220;9.995;KWH;01.08.2016 19:45;02.08.2016 10:45;220;4.213;KAH;01.08.2016 19:45;02.08.2016 10:45;220;0.625;KWH;01.08.2016 19:45;02.08.2016 10:45;220;0.000;KAH
01.08.2016 20:00;02.08.2016 11:00;220;11.620;KWH;01.08.2016 20:00;02.08.2016 11:00;220;4.800;KAH;01.08.2016 20:00;02.08.2016 11:00;220;0.625;KWH;01.08.2016 20:00;02.08.2016 11:00;220;0.000;KAH
01.08.2016 20:15;02.08.2016 11:15;220;10.385;KWH;01.08.2016 20:15;02.08.2016 11:15;220;4.213;KAH;01.08.2016 20:15;02.08.2016 11:15;220;0.636;KWH;01.08.2016 20:15;02.08.2016 11:15;220;0.000;KAH
01.08.2016 20:30;02.08.2016 11:30;220;11.906;KWH;01.08.2016 20:30;02.08.2016 11:30;220;4.950;KAH;01.08.2016 20:30;02.08.2016 11:30;220;0.625;KWH;01.08.2016 20:30;02.08.2016 11:30;220;0.000;KAH
01.08.2016 20:45;02.08.2016 11:45;220;9.566;KWH;01.08.2016 20:45;02.08.2016 11:45;220;4.100;KAH;01.08.2016 20:45;02.08.2016 11:45;220;0.625;KWH;01.08.2016 20:45;02.08.2016 11:45;220;0.000;KAH
01.08.2016 21:00;02.08.2016 12:00;220;10.918;KWH;01.08.2016 21:00;02.08.2016 12:00;220;4.850;KAH;01.08.2016 21:00;02.08.2016 12:00;220;0.625;KWH;01.08.2016 21:00;02.08.2016 12:00;220;0.000;KAH
01.08.2016 21:15;02.08.2016 12:15;220;9.566;KWH;01.08.2016 21:15;02.08.2016 12:15;220;4.113;KAH;01.08.2016 21:15;02.08.2016 12:15;220;0.636;KWH;01.08.2016 21:15;02.08.2016 12:15;220;0.000;KAH
01.08.2016 21:30;02.08.2016 12:30;220;10.320;KWH;01.08.2016 21:30;02.08.2016 12:30;220;4.538;KAH;01.08.2016 21:30;02.08.2016 12:30;220;0.625;KWH;01.08.2016 21:30;02.08.2016 12:30;220;0.000;KAH
01.08.2016 21:45;02.08.2016 12:45;220;8.474;KWH;01.08.2016 21:45;02.08.2016 12:45;220;4.013;KAH;01.08.2016 21:45;02.08.2016 12:45;220;0.625;KWH;01.08.2016 21:45;02.08.2016 12:45;220;0.000;KAH
01.08.2016 22:00;02.08.2016 13:00;220;9.774;KWH;01.08.2016 22:00;02.08.2016 13:00;220;4.613;KAH;01.08.2016 22:00;02.08.2016 13:00;220;0.636;KWH;01.08.2016 22:00;02.08.2016 13:00;220;0.000;KAH
01.08.2016 22:15;02.08.2016 13:15;220;6.823;KWH;01.08.2016 22:15;02.08.2016 13:15;220;3.788;KAH;01.08.2016 22:15;02.08.2016 13:15;220;0.625;KWH;01.08.2016 22:15;02.08.2016 13:15;220;0.000;KAH
01.08.2016 22:30;02.08.2016 13:30;220;5.913;KWH;01.08.2016 22:30;02.08.2016 13:30;220;2.813;KAH;01.08.2016 22:30;02.08.2016 13:30;220;0.615;KWH;01.08.2016 22:30;02.08.2016 13:30;220;0.000;KAH
01.08.2016 22:45;02.08.2016 13:45;220;4.275;KWH;01.08.2016 22:45;02.08.2016 13:45;220;2.425;KAH;01.08.2016 22:45;02.08.2016 13:45;220;0.615;KWH;01.08.2016 22:45;02.08.2016 13:45;220;0.000;KAH
01.08.2016 23:00;02.08.2016 14:00;220;4.327;KWH;01.08.2016 23:00;02.08.2016 14:00;220;2.538;KAH;01.08.2016 23:00;02.08.2016 14:00;220;0.625;KWH;01.08.2016 23:00;02.08.2016 14:00;220;0.000;KAH
01.08.2016 23:15;02.08.2016 14:15;220;4.626;KWH;01.08.2016 23:15;02.08.2016 14:15;220;2.713;KAH;01.08.2016 23:15;02.08.2016 14:15;220;0.615;KWH;01.08.2016 23:15;02.08.2016 14:15;220;0.000;KAH
01.08.2016 23:30;02.08.2016 14:30;220;3.976;KWH;01.08.2016 23:30;02.08.2016 14:30;220;2.263;KAH;01.08.2016 23:30;02.08.2016 14:30;220;0.615;KWH;01.08.2016 23:30;02.08.2016 14:30;220;0.000;KAH
02.08.2016 00:00;02.08.2016 15:00;220;3.729;KWH;02.08.2016 00:00;02.08.2016 15:00;220;2.000;KAH;02.08.2016 00:00;02.08.2016 15:00;220;0.615;KWH;02.08.2016 00:00;02.08.2016 15:00;220;0.000;KAH
02.08.2016 00:15;02.08.2016 15:15;220;4.717;KWH;02.08.2016 00:15;02.08.2016 15:15;220;2.775;KAH;02.08.2016 00:15;02.08.2016 15:15;220;0.615;KWH;02.08.2016 00:15;02.08.2016 15:15;220;0.000;KAH
